"NATIVE.ID","SEASONAL_SNOW_DEPTH","NETWORK.ID","NETWORK.NAME","STATION.ID","STATION.NAME","HISTORY.ID","PROVINCE","LONGITUDE","LATITUDE","ELEVATION..M.","RECORD.START","RECORD.END","OBS.FREQ","VARIABLES"
"AKN",37.9635589904128,5,"BCH",2429,"Aiken Lake,2429",2832,"BC",-125.7416667,56.43666667,"970","1960-01-02","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"BGP",87.966123451278,5,"BCH",13210,"Bridge Glacier Proglacial Lake,13210",15126,"BC",-123.486,50.83149,"1505","2022-10-01","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"BLO",20.3316706947087,5,"BCH",13112,"Bralorne,13112",15034,"BC",-122.788819444444,50.7751888888889,"1382","2022-10-15","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"BMN",44.8312634989201,5,"BCH",2436,"Brenda Mines,2436",2839,"BC",-119.9888889,49.86805556,"1460","1993-01-27","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"CAC",61.8984310393656,5,"BCH",13092,"Callaghan Creek,13092",15014,"BC",-123.102889,50.137056,"1017","2021-04-03","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"CHW",21.398683429024,5,"BCH",2441,"Chowade Upper,2441",2844,"BC",-122.7788667,56.63683333,"1480","1980-09-15","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"CPI",90.7512914736113,5,"BCH",12388,"Colpitti Creek,12388",14410,"BC",-117.611,51.6077,"2131","2018-03-01","2025-02-04","Hourly","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"CRG",96.7327255032526,5,"BCH",13097,"Conrad Glacier,13097",15019,"BC",-116.93975,50.812033,"2599","2021-04-03","2025-02-04","Unspecified","Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"CRY",26.3497473445395,5,"BCH",12389,"Crying Girl Prairie,12389",14411,"BC",-122.893,56.3859,"1358","2018-03-01","2025-02-04","Hourly","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"DCD2",3.35929515418502,5,"BCH",13213,"Duncan Lake Dam 2,13213",15129,"BC",-116.972,50.2388,"559","2021-04-03","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"DIK",109.158338826632,5,"BCH",13212,"Dickson Lake,13212",15128,"BC",-122.07,49.3167,"1154.901","2023-12-01","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"FAQ",14.5401360544218,5,"BCH",13099,"Fauquier Water Treatment Plant,13099",15021,"BC",-118.074228,49.864182,"519","2021-04-03","2025-01-21","Unspecified","Precipitation Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"FDK",68.5216446453408,5,"BCH",13216,"Fredrickson Lake,13216",15132,"BC",-126.521,56.94846,"1326","2023-12-01","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"FER",0,5,"BCH",12395,"Fernie,12395",14417,"BC",-115.073,49.4884,"1101","2017-06-01","2025-02-04","Hourly","Precipitation Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"FLK",74.7134587554269,5,"BCH",2460,"Floe Lk,2460",2863,"BC",-116.1371167,51.05991667,"2090","1993-01-02","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"FLL",31.1863835868123,5,"BCH",13215,"Fred Laing Lower,13215",15131,"BC",-118.586,52.05381,"577","2022-07-14","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"GRP",62.0969095764975,5,"BCH",2466,"Glacier nr Roger's Pass,2466",2869,"BC",-117.5086111,51.26972222,"1182","1982-11-03","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"HRN",46.1307719965073,5,"BCH",2470,"Horn Ck,2470",2873,"BC",-123.606,56.73476667,"1450","1981-01-02","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"JHL",18.611217641419,5,"BCH",13217,"Johanson Lake,13217",15133,"BC",-126.194,56.60542,"1467","2023-11-01","2025-02-04","Unspecified","Precipitation Amount|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"KAA",8.41555339290454,5,"BCH",13098,"Kaslo Airport,13098",15020,"BC",-116.928277777778,49.90375,"717","2021-04-03","2025-02-04","Unspecified","Precipitation Amount|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)"
"KWA",51.5082672471881,5,"BCH",2475,"Kwadacha North - snowpillow,2475",2878,"BC",-125.0731667,57.62333333,"1554","1980-09-16","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
