"Network ID","Network Name","Native ID","Station ID","Station Name","History ID","Province","Longitude","Latitude","Elevation (m)","Record Start","Record End","Obs Freq","Variables"
"5","BCH","AKI","2428","Akie nr the 760m contour,2428","2831","BC","-124.8955556","57.18833333","760","1982-10-16","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","AKN","2429","Aiken Lake,2429","2832","BC","-125.7416667","56.43666667","970","1960-01-02","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","ALU","2430","Alouette Lake forebay,2430","2833","BC","-122.4862139","49.28744167","125","1960-01-02","2025-02-04","Daily","Precipitation Amount|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","ASH","2431","Elsie Lk forebay,2431","2834","BC","-125.1438333","49.44055556","340","1980-10-22","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","BAR","2432","Barnes Ck,2432","2835","BC","-118.3492167","50.06601667","1620","1960-01-02","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","BCK","2433","Bear Ck Res.,2433","2836","BC","-123.9138889","48.50333333","419","1980-10-22","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","BIR","2434","Columbia R. @ Birchbank,2434","2837","BC","-117.7163889","49.17777778","410","1987-05-30","2024-09-20","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","BLN","2435","Bralorne Upper,2435","2838","BC","-122.74525","50.79927778","1920","1984-01-02","2024-09-13","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","BMN","2436","Brenda Mines,2436","2839","BC","-119.9888889","49.86805556","1460","1993-01-27","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","BRI","2437","Bridge R. blw Glacier,2437","2840","BC","-123.4502778","50.85611111","1350","1982-01-02","2024-10-02","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","BUL","2438","Bull R. @ Wardner,2438","2841","BC","-115.3638889","49.49305556","800","1982-09-05","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","CHK","2440","Cheakamus R. ab Millar Ck,2440","2843","BC","-123.0338889","50.07972222","640","1960-01-02","2024-10-02","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","CHW","2441","Chowade Upper,2441","2844","BC","-122.7788667","56.63683333","1480","1980-09-15","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Snow Water Equivalent|Surface Snow Depth (Point)|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","CLO","2442","Clowhom Falls,2442","2845","BC","-123.5222222","49.70833333","10","1960-01-02","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","CLW","2443","Clowhom R. nr Clowhom Lake,2443","2846","BC","-123.4202778","49.78777778","125","1993-01-02","2024-10-02","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","CMU","2445","Upper Cheakamus,2445","2848","BC","-123.1333333","50.12222222","880","1960-01-02","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","CMX","2446","Comox Dam forebay,2446","2849","BC","-125.0944444","49.64305556","135","1980-10-22","2025-02-04","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","COQ","2447","Coquitlam Lake forebay,2447","2850","BC","-122.779625","49.35558611","160","1960-01-02","2024-09-29","Daily","Precipitation Amount|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","CQM","2449","Coquitlam R. ab Lake,2449","2852","BC","-122.7924861","49.48829444","290","1960-01-02","2024-09-29","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
"5","BCH","CRU","2450","Cruickshank R. nr the Mouth,2450","2853","BC","-125.2008333","49.57916667","150","1980-10-22","2024-09-28","Daily","Precipitation Amount|Precipitation Climatology|Temperature (Max.)|Temperature (Min.)|Temperature (Point)|Temperature Climatology (Max.)|Temperature Climatology (Mean)|Temperature Climatology (Min.)"
